Status
Checking HiRTOS.tla / HiRTOS_all_safety_and_liveness.cfg
Success Fingerprint collision probability: 9.1E-6
Start: 00:18:34 (May 25), end: 07:54:21 (May 25)

States
Time	Diameter	Found	Distinct	Queue
06:35:21	231	25 494 612	6 888 914	43 267
06:36:21	231	25 559 005	6 904 154	42 324
06:37:21	232	25 623 040	6 920 690	41 992
06:38:21	232	25 686 604	6 937 046	40 440
06:39:21	233	25 750 509	6 951 966	39 424
06:40:21	233	25 815 141	6 969 286	38 093
06:41:21	233	25 879 306	6 983 914	37 094
06:42:21	234	25 943 561	7 000 791	35 684
06:43:21	234	26 008 009	7 016 082	34 527
06:44:21	235	26 072 142	7 032 633	33 414
06:45:21	235	26 135 863	7 047 876	32 063
06:46:21	236	26 199 842	7 064 321	30 799
06:47:21	236	26 263 467	7 079 475	29 843
06:48:21	237	26 327 314	7 096 318	28 732
06:49:21	238	26 390 717	7 111 470	28 053
06:50:21	238	26 454 612	7 128 369	27 212
06:51:21	239	26 518 305	7 144 573	26 939
06:52:21	239	26 582 029	7 160 185	26 180
06:53:21	240	26 646 130	7 177 595	25 945
06:54:22	241	26 709 447	7 193 145	25 481
06:55:22	241	26 771 167	7 209 204	25 237
06:56:22	242	26 834 906	7 226 186	25 014
06:57:22	243	26 898 665	7 242 020	24 813
06:58:22	243	26 962 626	7 258 780	24 374
06:59:22	244	27 026 365	7 275 988	23 950
07:00:22	245	27 089 777	7 291 768	23 843
07:01:22	245	27 153 843	7 308 218	23 289
07:02:22	246	27 217 333	7 325 284	23 022
07:03:22	247	27 280 861	7 341 766	22 866
07:04:22	248	27 343 798	7 357 335	22 388
07:05:22	248	27 407 205	7 373 972	22 125
07:06:22	249	27 470 384	7 390 756	21 726
07:07:22	250	27 533 358	7 406 792	21 538
07:08:22	251	27 596 216	7 422 430	20 935
07:09:22	251	27 659 239	7 438 497	20 314
07:10:22	252	27 722 579	7 454 984	19 522
07:11:22	253	27 785 772	7 471 320	18 626
07:12:22	254	27 848 820	7 487 571	17 883
07:13:22	255	27 911 539	7 503 399	17 269
07:14:22	256	27 974 214	7 519 180	16 421
07:15:22	257	28 036 540	7 534 769	15 383
07:16:22	258	28 099 005	7 550 405	14 346
07:17:22	259	28 161 448	7 565 745	13 233
07:18:22	260	28 224 198	7 580 829	12 010
07:19:22	262	28 282 890	7 595 471	10 935
07:20:23	263	28 345 733	7 611 306	10 423
07:21:23	265	28 408 550	7 627 282	10 100
07:22:23	267	28 470 912	7 643 000	9 743
07:23:23	268	28 533 461	7 659 260	9 536
07:24:23	270	28 595 859	7 675 074	9 129
07:25:23	272	28 658 328	7 690 802	8 309
07:26:23	274	28 720 480	7 706 556	7 360
07:27:23	276	28 783 096	7 722 575	6 614
07:28:23	279	28 845 663	7 738 370	5 690
07:29:23	282	28 908 178	7 754 356	5 030
07:30:23	285	28 970 806	7 770 824	5 231
07:31:23	288	29 033 936	7 787 194	4 936
07:32:23	292	29 096 064	7 803 250	4 373
07:33:23	296	29 158 562	7 819 173	3 821
07:34:23	301	29 220 050	7 834 177	2 078
07:35:23	317	29 281 240	7 848 355	433
07:35:47	357	29 304 782	7 853 746	0

Coverage
Module	Action	Total	Distinct
HiRTOS	Init	1	1
HiRTOS	check_time_slice_step	943 170	473 138
HiRTOS	choose_next_thread_step	943 168	413 772
HiRTOS	run_scheduler_return_step	838 772	413 772
HiRTOS	acquire_mutex_step_	66 312	55 932
HiRTOS	acquire_mutex_acquire_step	35 112	28 640
HiRTOS	acquire_mutex_make_condvar_wait_awoken_thread_runnable_step	9 120	7 120
HiRTOS	acquire_mutex_wait_on_mutex_step	31 200	27 292
HiRTOS	acquire_mutex_check_if_priority_inheritance_needed_step	31 200	27 292
HiRTOS	acquire_mutex_priority_inheritance_step	11 712	5 272
HiRTOS	acquire_mutex_priority_inheritance_if_mutex_owner_runnable_step	6 544	5 272
HiRTOS	acquire_mutex_priority_inheritance_if_mutex_owner_blocked_on_mutex_step	0	0
HiRTOS	acquire_mutex_priority_inheritance_if_mutex_owner_blocked_on_condvar_step	0	0
HiRTOS	acquire_mutex_priority_inheritance_update_prio_step	6 544	5 272
HiRTOS	acquire_mutex_check_if_synchronous_context_switch_needed_step	26 032	23 172
HiRTOS	acquire_mutex_synchronous_context_switch_step	22 864	20 564
HiRTOS	do_acquire_mutex_return_step	54 408	45 244
HiRTOS	enter_critical_section_step_	53 384	45 692
HiRTOS	exit_critical_section_step_	42 120	26 644
HiRTOS	acquire_mutex_return_step	784 304	111 668
HiRTOS	release_mutex_step_	60 956	46 540
HiRTOS	release_mutex_restore_priority_step	60 956	46 540
HiRTOS	release_mutex_check_if_mutex_waiters_step	60 956	46 540
HiRTOS	release_mutex_wakeup_mutex_waiter_step	13 216	10 400
HiRTOS	release_mutex_synchronous_context_switch_step	6 912	5 832
HiRTOS	do_release_mutex_return_step	60 956	46 540
HiRTOS	enter_critical_section_step_R	32 904	27 348
HiRTOS	exit_critical_section_step_R	32 904	26 124
HiRTOS	release_mutex_return_step	959 536	38 116
HiRTOS	wait_on_condvar_wait_step	81 436	64 884
HiRTOS	wait_on_condvar_release_mutex_step	81 436	64 884
HiRTOS	wait_on_condvar_synchronous_context_switch_step	81 436	64 884
HiRTOS	do_wait_on_condvar_return_step	65 296	50 712
HiRTOS	enter_critical_section_step_W	28 052	19 192
HiRTOS	exit_critical_section_step_W	24 672	7 888
HiRTOS	wait_on_condvar_return_step	1 503 848	50 176
HiRTOS	signal_condvar_step	120 332	69 502
HiRTOS	signal_condvar_wakeup_waiter_step	85 016	43 386
HiRTOS	signal_condvar_check_if_mutex_reacquire_needed_step	83 512	43 386
HiRTOS	signal_condvar_reacquire_mutex_step	12 928	10 240
HiRTOS	signal_condvar_awoken_thread_runnable_step	70 584	33 146
HiRTOS	signal_condvar_check_if_sync_context_switch_needed_step	82 872	42 874
HiRTOS	signal_condvar_synchronous_context_switch_step	5 872	4 640
HiRTOS	do_condvar_signal_return_step	118 188	51 870
HiRTOS	enter_critical_section_step_S	42 244	30 452
HiRTOS	exit_critical_section_step_S	37 556	22 616
HiRTOS	condvar_signaled_step	1 167 224	27 832
HiRTOS	enter_critical_section_step_B	42 244	30 452
HiRTOS	broadcast_condvar_step	48 500	35 380
HiRTOS	broadcast_condvar_wakeup_waiter_step	7 504	5 904
HiRTOS	broadcast_condvar_after_waking_up_one_waiter_step	6 416	4 928
HiRTOS	broadcast_condvar_check_if_sync_context_switch_needed_step	40 996	29 476
HiRTOS	broadcast_condvar_synchronous_context_switch_step	5 680	4 448
HiRTOS	exit_critical_section_step_B	40 996	28 996
HiRTOS	condvar_broadcasted_step	1 882 136	1 536
HiRTOS	enter_critical_section_step_D	53 384	45 692
HiRTOS	delay_until_step	53 384	45 692
HiRTOS	exit_critical_section_step_D	40 624	11 512
HiRTOS	after_delay_until_step	1 609 032	53 360
HiRTOS	thread_state_machine_next_state_loop	53 384	45 692
HiRTOS	context_switch0	3 939 200	1 607 172
HiRTOS	acquire_mutex_step	984 800	522 108
HiRTOS	context_switch1	63 664	37 400
HiRTOS	waiting_for_resource_step	500 352	294 488
HiRTOS	context_switch2	24 360	6 736
HiRTOS	release_mutex_step	531 088	334 584
HiRTOS	thread_iteration_completed_step	1 959 920	895 534
